iter	Passed	Remaining
0	162	162297
1	164	81856
2	165	55055
3	167	41701
4	169	33676
5	170	28271
6	172	24421
7	173	21551
8	175	19311
9	177	17526
10	178	16051
11	180	14845
12	181	13816
13	183	12933
14	185	12154
15	186	11476
16	188	10881
17	189	10353
18	191	9878
19	192	9449
20	194	9066
21	196	8714
22	197	8403
23	199	8121
24	201	7854
25	203	7607
26	204	7377
27	206	7153
28	207	6941
29	208	6744
30	209	6560
31	211	6392
32	212	6231
33	213	6078
34	215	5933
35	216	5800
36	217	5670
37	219	5548
38	220	5431
39	221	5320
40	222	5215
41	224	5115
42	225	5020
43	226	4929
44	228	4841
45	229	4759
46	230	4679
47	232	4603
48	233	4529
49	234	4458
50	235	4389
51	237	4324
52	238	4261
53	239	4200
54	241	4142
55	242	4085
56	243	4030
57	244	3978
58	246	3927
59	247	3876
60	248	3828
61	249	3781
62	251	3739
63	252	3696
64	253	3653
65	255	3612
66	256	3572
67	257	3525
68	258	3488
69	259	3451
70	261	3416
71	262	3382
72	263	3349
73	265	3316
74	266	3284
75	267	3253
76	268	3223
77	270	3193
78	271	3165
79	272	3137
80	274	3109
81	275	3081
82	276	3055
83	277	3029
84	278	3000
85	280	2975
86	280	2947
87	282	2924
88	283	2903
89	284	2880
90	286	2858
91	287	2836
92	288	2815
93	289	2794
94	291	2773
95	292	2754
96	293	2735
97	295	2716
98	296	2699
99	297	2681
100	299	2663
101	299	2640
102	301	2623
103	302	2605
104	303	2588
105	305	2572
106	306	2556
107	307	2540
108	308	2524
109	310	2510
110	311	2495
111	312	2480
112	314	2465
113	315	2450
114	316	2436
115	317	2420
116	318	2407
117	320	2393
118	321	2378
119	322	2365
120	323	2353
121	325	2341
122	326	2324
123	327	2312
124	328	2300
125	329	2288
126	331	2275
127	331	2261
128	333	2249
129	334	2238
130	335	2226
131	337	2216
132	338	2206
133	339	2196
134	341	2186
135	342	2175
136	343	2165
137	344	2153
138	346	2143
139	347	2133
140	348	2124
141	350	2114
142	351	2105
143	352	2096
144	353	2087
145	355	2077
146	356	2068
147	357	2059
148	359	2050
149	360	2042
150	361	2033
151	362	2024
152	364	2018
153	365	2010
154	367	2002
155	368	1995
156	370	1990
157	372	1985
158	374	1979
159	376	1974
160	378	1972
161	381	1971
162	383	1967
163	384	1961
164	386	1954
165	387	1948
166	389	1942
167	390	1935
168	392	1929
169	394	1923
170	395	1917
171	397	1911
172	398	1905
173	400	1899
174	401	1894
175	403	1888
176	404	1882
177	406	1875
178	407	1869
179	408	1862
180	409	1853
181	410	1846
182	412	1841
183	413	1835
184	415	1829
185	416	1823
186	418	1817
187	419	1811
188	420	1805
189	422	1799
190	423	1793
191	424	1787
192	426	1781
193	427	1775
194	428	1769
195	430	1765
196	431	1759
197	432	1753
198	434	1747
199	435	1741
200	436	1736
201	438	1730
202	439	1724
203	440	1719
204	441	1713
205	443	1708
206	445	1705
207	446	1701
208	448	1696
209	450	1693
210	452	1691
211	453	1687
212	455	1683
